경매개시일,법원명,경매사건번호,주소,대지권,전용,감정가,낙찰가,낙찰일,입찰인수,유찰수,매각가율,역과의거리,임차인대항력,,,,,,,,,
20181109,서울동부,2018-54351, 강동구 천호동 113-7외 1필지 런던빌 제비동 제1층 제101호   ,7.3,11.7,24000 ,15100 ,2020-04-27,5 ,3 ,0.63 ,506 ,0 ,,,,,,,,,
20181112,서울남부,2018-106729, 구로구 오류동 14-480 성화스위트빌 제비동 제2층 제201호 ,12.2,21.8,21400 ,11009 ,2020-02-25,3 ,4 ,0.51 ,541 ,0 ,,,,,,,,,
20181114,서울중앙,2018-9341, 서초구 서초동 1495-3 라포레 서리풀 제6층 제602호 ,5.8,9.8,60000 ,47100 ,2020-02-11,5 ,2 ,0.79 ,574 ,0 ,,,,,,,,,
20181119,서울남부 ,2018-10538, 강서구 내발산동 7173 삼호빌라 제지하층 제1호  ,8.4,11,11800 ,9555 ,2020-10-28,1 ,1 ,0.81 ,210 ,0 ,,,,,,,,,
20181126,서울중앙,2018-107320, 종로구 체부동 11838외 1필지 제2층 제202호  ,0,8.9,9150 ,897 ,2021-05-26,2 ,10 ,0.10 ,277 ,1 ,,,,,,,,,
20181126,서울중앙,2018-107320, 종로구 체부동 11838외 1필지 제3층 제302호  ,0,8.9,9150 ,718 ,2021-06-30,1 ,11 ,0.08 ,280 ,1 ,,,,,,,,,
20181128,서울중앙 ,2018-10037, 동작구 상도동 721외 2필지 일등하우스 제5층 제502호   ,4.6,9,32944 ,27000 ,2020-08-06,1 ,2 ,0.82 ,542 ,1 ,,,,,,,,,
20181129,서울중앙 ,2018-107405, 관악구 신림동 412-233 금강빌라 제가동 제1층 제101호 ,7.7,9.2,9400 ,7600 ,2020-01-07,1 ,1 ,0.80 ,418 ,1 ,,,,,,,,,
20181210,서울북부 ,2018-107718, 강북구 수유동 23619 해오름빌라트 제4층 제402호  ,11.8,20.3,24800 ,18260 ,2020-06-08,9 ,2 ,0.74 ,353 ,0 ,,,,,,,,,
20181211,서울서부,2018-7074, 은평구 구산동 27-1외 1필지 연서맨션 제지하층 제3호 ,7.9,12.7,7000 ,5889 ,2020-03-31,1 ,1 ,0.84 ,587 ,0 ,,,,,,,,,
20181217,서울중앙 ,2018-10143, 동작구 상도동 7183 케이디아이빌 제디동 제1층 제102호   ,4.7,7.4,13100 ,0 ,2020-09-08,0 ,2 ,0.00 ,542 ,0 ,,,,,,,,,
20181217,서울중앙 ,2018-10143, 동작구 상도동 7183 케이디아이빌 제디동 제1층 제103호   ,5.5,8.7,15400 ,0 ,2020-09-08,0 ,2 ,0.00 ,536 ,0 ,,,,,,,,,
20181217,서울중앙 ,2018-10143, 동작구 상도동 7183 케이디아이빌 제디동 제2층 제202호   ,4.7,7.4,13100 ,0 ,2020-09-08,0 ,2 ,0.00 ,536 ,0 ,,,,,,,,,
20181217,서울중앙 ,2018-10143, 동작구 상도동 7183 케이디아이빌 제디동 제2층 제203호   ,5.5,8.7,15400 ,0 ,2020-09-08,0 ,2 ,0.00 ,536 ,0 ,,,,,,,,,
20181217,서울중앙 ,2018-10143, 동작구 상도동 7183 케이디아이빌 제디동 제3층 제303호   ,10.2,17,28400 ,0 ,2020-09-08,0 ,2 ,0.00 ,536 ,0 ,,,,,,,,,
20181217,서울중앙,2018-10143, 동작구 상도동 7-183 케이디아이빌 제디동 제3층 제302호,4.7,7.4,13100 ,14731 ,2022-05-31,1 ,0 ,0.89 ,542 ,0 ,,,,,,,,,
20181217,서울중앙,2018-10143, 동작구 상도동 7-183 케이디아이빌 제디동 제1층 제101호,5.5,8.7,15400 ,17422 ,2022-07-05,3 ,1 ,0.88 ,537 ,0 ,,,,,,,,,
20181217,서울중앙,2018-10143, 동작구 상도동 7-183 케이디아이빌 제디동 제1층 제104호,4.7,7.4,13100 ,11280 ,2022-07-05,1 ,1 ,1.16 ,537 ,0 ,,,,,,,,,
20181217,서울중앙,2018-10143, 동작구 상도동 7-183 케이디아이빌 제디동 제2층 제201호,5.5,8.7,15400 ,13207 ,2022-07-05,1 ,1 ,1.17 ,537 ,0 ,,,,,,,,,
20181217,서울중앙,2018-10143, 동작구 상도동 7-183 케이디아이빌 제디동 제2층 제204호,4.7,7.4,13100 ,14251 ,2022-07-05,3 ,1 ,0.92 ,537 ,0 ,,,,,,,,,
20181217,서울중앙,2018-10143, 동작구 상도동 7-183 케이디아이빌 제디동 제3층 제301호,5.5,8.7,15400 ,15200 ,2022-07-05,3 ,1 ,1.01 ,537 ,0 ,,,,,,,,,
20181217,서울중앙,2018-10143, 동작구 상도동 7-183 케이디아이빌 제디동 제4층 제401호,6.8,11.3,19500 ,16405 ,2022-09-13,3 ,1 ,1.19 ,501 ,0 ,,,,,,,,,
20181217,서울중앙,2018-10143, 동작구 상도동 7-183 케이디아이빌 제디동 제4층 제402호,6.8,11.3,19500 ,16099 ,2022-09-13,2 ,1 ,1.21 ,501 ,0 ,,,,,,,,,
20181219,서울북부 ,2018-108001, 강북구 수유동 480-23 에이치홈 제6층 제601호   ,5.4,8.9,19200 ,16390 ,2020-02-10,1 ,1 ,0.80 ,504 ,0 ,,,,,,,,,
20181219,서울북부 ,2018-108001, 강북구 수유동 480-23 에이치홈 제3층 제301호,7.7,12.8,27500 ,18400 ,2020-05-25,3 ,2 ,0.67 ,385 ,0 ,,,,,,,,,
20181219,서울북부 ,2018-108001, 강북구 수유동 480-23 에이치홈 제3층 제302호,5.8,9.5,20300 ,14225 ,2020-05-25,2 ,2 ,0.70 ,385 ,0 ,,,,,,,,,
20181219,서울북부 ,2018-108001, 강북구 수유동 480-23 에이치홈 제4층 제401호,7.7,12.8,27500 ,18600 ,2020-05-25,3 ,2 ,0.67 ,385 ,0 ,,,,,,,,,
20181219,서울북부 ,2018-108001, 강북구 수유동 480-23 에이치홈 제5층 제501호,5.4,8.9,19100 ,12811 ,2020-05-25,3 ,2 ,0.67 ,385 ,0 ,,,,,,,,,
20181219,서울북부 ,2018-108001, 강북구 수유동 480-23 에이치홈 제5층 제502호,5.3,8.8,19285 ,13200 ,2020-05-25,1 ,2 ,0.68 ,385 ,0 ,,,,,,,,,
20181219,서울북부 ,2018-12209, 도봉구 창동 731109 스페이스플러스 제5층 제502호   ,4.5,9,17700 ,2301 ,2020-07-13,2 ,10 ,0.13 ,711 ,1 ,,,,,,,,,
20181219,서울북부 ,2018-108001, 강북구 수유동 48023 에이치홈 제4층 제402호   ,2.7,4.4,10525 ,7177 ,2020-08-18,3 ,2 ,0.68 ,406 ,0 ,,,,,,,,,
20181220,서울남부,2018-107920, 구로구 구로동 476-44 화원빌라 제5층 제502호 ,5.9,20.7,29800 ,18597 ,2020-02-12,9 ,3 ,0.62 ,496 ,1 ,,,,,,,,,
20181221,서울동부 ,2018-7249, 광진구 군자동 1609 군자스페이스 제2층 제201호  ,9.1,14.1,32000 ,27256 ,2020-06-01,1 ,1 ,0.85 ,427 ,0 ,,,,,,,,,
20181226,서울서부,2018-54780, 용산구 용산동2가 44 동광빌라 제3층 제301호  ,6.2,8,27100 ,22674 ,2020-04-21,1 ,1 ,0.84 ,663 ,0 ,,,,,,,,,
